raw name,cleaned name,first_appearance,last_appearance,count,title
Edouard Asnong,Edouard Asnong,2011-06-16,2011-06-16,1,Chairperson
Edrianne-alexa Tumaneng,Edrianne-alexa Tumaneng,2024-05-24,2024-05-24,1,Junior Project Engineer
Edsel Aytona,Edsel Aytona,2023-09-22,2023-09-22,1,Trade Commissioner
Eduard Blanquet Arago,Eduard Blanquet Arago,2024-05-01,2024-05-22,3,Senior Advisor
Edward Burrows,Edward Burrows,2019-01-09,2022-01-19,2,Policy Advisor
Edward De Sousa,Edward De Sousa,2015-03-09,2015-03-09,1,"Director General, Resource Management Directorate"
Edward Fast,Edward Fast,2011-06-08,2024-11-26,107,"Minister, International Trade"
Edward Hutchinson,Edward Hutchinson,2021-11-03,2024-04-10,5,Press Secretary
Edward Hutchison,Edward Hutchinson,2024-06-06,2024-06-06,1,Press Secretary
Edward Irving,Edward Irving,2023-11-23,2025-04-10,9,Director
Edward Komarnicki,Edward Komarnicki,2010-09-22,2010-09-22,1,Parliamentary Secretary
Edward Livingstone,Edward Livingstone,2019-02-15,2019-02-15,2,Acting Assistant Deputy Minister
Edward Malota,Edward Malota,2011-08-29,2013-07-24,2,"Manager, Sector Analysis"
Edward Mcainsh,Edward Mcainsh,2023-11-28,2023-11-28,1,Senior Policy Analyst
Edward Rawlinson,Edward Rawlinson,2016-04-13,2021-11-22,52,"Director, Parliamentary Affairs"
Edward Rolinson,Edward Rolinson,2016-07-04,2016-07-04,1,"Director, Parliamentary Affairs"
Edward Sem,Edward Sem,2020-05-21,2020-05-21,1,Staffer to Senator
Edward Steeves,Edward Steeves,2020-04-06,2023-08-03,2,"Regional Vice President, Atlantic"
Edward Straw,Edward Straw,2009-02-03,2009-02-09,2,"Vice President, Corporate Financing"
Edward Trippel,Edward Trippel,2022-11-30,2025-02-25,10,Research Scientist
Edwards Gary,Edwards Gary,2016-10-28,2016-10-28,1,Tax Policy Officer
Edwige Affaa,Edwige Affaa,2024-04-05,2024-04-05,1,Program Officer
Edwin Holder,Edwin Holder,2014-10-14,2015-06-30,3,"Minister of State, Science and Technology"
Edyta Dwojewska,Edyta Dwojewska,2024-06-13,2024-06-13,1,Regional Program Development Team Leader
Eesha Chaudhry,Eesha Chaudhry,2022-11-18,2022-11-18,1,Intern
Effie Panousos,Effie Panousos,2023-04-21,2024-02-01,3,Senior Policy Analyst
Effie Triantafilopoulos,Effie Triantafilopoulos,2020-08-20,2020-08-20,1,Member of Parliament
Ehren Corey,Ehren Corey,2021-01-15,2023-12-15,4,President and CEO
Ehren Cory,Ehren Cory,2020-11-26,2025-02-25,15,Chief Executive Officer
