raw name,cleaned name,first_appearance,last_appearance,count,title
Abbie Garwood,Abbie Garwood,2021-04-27,2021-04-27,1,Policy Advisor
Abbie Hoffman,Abby Hoffman,2019-08-12,2019-08-12,1,Assistant Deputy Minister
Abbie Smith,Abbie Smith,2021-09-07,2021-09-07,1,Manager
Abbigael Loomis,Abbigael Loomis,2023-12-18,2023-12-18,1,Investor Services Associate
Abby Hoffman,Abby Hoffman,2009-01-14,2020-01-14,79,Assistant Deputy Minister
Abby Menendez,Abby Menendez,2024-01-09,2024-01-09,1,Policy Analyst
Abby Robinson,Abby Robinson,2024-07-04,2024-08-13,3,"Acting Director, Regional Plans and Partnerships"
Abdalla Tamer,Abdalla Tamer,2016-07-06,2016-07-06,1,"Policy Advisor, Youth"
Abde Harb,Abed Harb,2016-09-23,2016-09-23,1,Senior Policy Advisor
Abdel Amin,Abdel Amin,2023-11-09,2024-04-09,4,"Special Assistant, Parliamentary Affairs"
Abdel Felfel,Abdel Felfel,2023-07-17,2023-07-17,1,Senior Economist
Abdelaziz Essoltani,Abdelaziz Essoltani,2022-02-14,2022-02-14,1,Chief Information Officer
Abdelhaq Sari,Abdelhaq Sari,2025-06-03,2025-06-03,1,Member of Parliament
Abder Yagouti,Abder Yagouti,2023-12-08,2023-12-08,1,Director General
Abdikheir Ahmed,Abdikheir Ahmed,2020-03-19,2021-01-28,83,Director of Policy
Abdikhier Ahmed,Abdikhier Ahmed,2020-03-26,2020-03-26,1,Director of Policy
Abdou Saouab,Abdou Saouab,2022-06-15,2022-06-15,1,Manager
Abdu Jalil,Abdul Jalil,2020-10-01,2020-10-01,1,Assistant Deputy Minister
Abdul Isse,Abdul Isse,2018-08-27,2018-08-27,1,Sector Specialist
Abdul Jalil,Abdul Jalil,2017-10-03,2023-01-10,58,Assistant Deputy Minister
Abdul Mohamoud,Abdul Mohamoud,2020-09-04,2020-09-04,1,Program Engineer
Abdullah Abdi,Abdullah Abdi,2017-09-11,2017-11-15,6,Trade Policy Analyst
Abdullah El-safadi,Abdullah El-safadi,2021-06-04,2021-06-10,2,Consultant
Abdullah Osman,Abdullah Osman,2020-11-26,2021-01-25,4,"Special Assistant, Operations"
Abdullahi Keinan,Abdullahi Keinan,2023-01-27,2023-01-27,1,Senior Program Officer
Abdurahman Salman,Abdurahman Salman,2013-10-30,2013-10-30,1,Second Secretary
Abebech Assefa,Abebech Assefa,2021-07-23,2021-07-23,5,Senior Departmental Advisor
Abed Harb,Abed Harb,2016-06-14,2023-10-31,546,Senior Policy Advisor
Abed Hard,Abed Hard,2017-06-05,2020-09-30,6,Senior Advisor
Abena Mireku,Abena Mireku,2017-02-07,2017-02-07,1,Analyst
Abha Bhargava,Abha Bhargava,2017-04-27,2017-04-27,1,"Director, Energy Integration"
Abhishek Raj,Abhishek Raj,2024-03-08,2024-03-08,2,Senior Policy Advisor
