raw name,cleaned name,first_appearance,last_appearance,count,title
Kanchana Amaratunga,Kanchana Amaratunga,2025-05-01,2025-05-01,1,Public Health Medical Advisor
Kandice Leonard,Kandice Leonard,2023-11-22,2025-02-20,2,Regional Director General
Kandice Morrison,Kandice Morrison,2012-04-24,2023-11-06,2,"Director, Community and Economic Development"
Kannika Mcgrath,Kannika Mcgrath,2022-03-18,2022-05-11,2,Program Officer
Kanwal Kochar,Kanwal Kochar,2019-02-04,2020-07-31,2,Director General
Kanwal Kochhar,Kanwal Kochhar,2010-03-29,2024-08-27,18,Executive Director
Kanwaljeet Dewan,Kanwaljeet Dewan,2023-09-28,2023-09-28,1,Deputy Director
Kara Beckles,Kara Beckles,2019-01-28,2024-09-12,4,Executive Director
Kara Emberson,Kara Emberson,2019-11-26,2024-05-01,5,Parliamentary Assistant
Kara Korajian,Kara Korajian,2015-05-22,2015-05-22,1,Parliamentary Assistant
Kara Mitchell,Kara Mitchell,2017-04-19,2025-02-04,8,Advisor
Kara Sherrard,Kara Sherrard,2021-05-20,2023-09-03,3,"Director, Outreach and Marketing"
Kara Thompson,Kara Thompson,2025-01-16,2025-01-16,1,Policy Analyst
Kara Vlasman,Kara Vlasman,2017-10-19,2017-10-19,1,Senior Policy Analyst
Karam Chima,Karam Chima,2022-01-11,2024-02-14,9,"Special Assistant, Parliamentary Affairs"
Karel Allard,Karel Allard,2023-10-31,2024-04-03,2,Protected Areas Coordinator
Karen Austin,Karen Austin,2021-06-04,2025-04-25,4,"Deputy Director, Social Empowerment"
Karen Badgerow,Karen Badgerow,2015-02-19,2015-03-11,2,"Senior Vice President, Insurance and Risk Assessment"
Karen Bronsard,Karen Bronsard,2022-09-16,2023-12-11,7,Director
Karen Butcher,Karen Butcher,2018-09-10,2020-08-19,3,Director General
Karen Cahill,Karen Cahill,2023-08-30,2023-08-30,1,Assistant Secretary
Karen Calla,Karen Calla,2021-03-26,2021-03-26,1,Regional Director
Karen Campbell,Karen Campbell,2021-01-13,2025-02-28,15,Director General
Karen Clark Verbinsky,Karen Clark Verbinsky,2018-11-29,2018-11-29,1,Assistant Director
Karen Cleary,Karen Cleary,2017-04-04,2017-04-04,1,Legislative Assistant
Karen Corbey,Karen Corbey,2013-03-28,2013-03-28,1,Executive Director
Karen Corkery,Karen Corkery,2009-06-09,2014-10-14,28,Executive Director
Karen Corkey,Karen Corkey,2013-01-30,2013-03-07,3,"Executive Director, Industrial Technologies"
Karen Costello,Karen Costello,2014-03-04,2015-04-02,2,"Director, Resource Management"
Karen Cumberland,Karen Cumberland,2019-04-29,2021-01-15,5,Senior Advisor to the Director General
Karen Davison,Karen Davison,2014-05-22,2014-05-22,1,Senior Science Advisor
Karen Dodds,Karen Dodds,2008-12-23,2016-03-24,72,Assistant Deputy Minister
Karen Durnford-mcintosh,Karen Durnford-mcintosh,2022-09-16,2024-01-23,2,Director General
Karen E. Shepherd,Karen E. Shepherd,2010-06-29,2010-06-29,1,Commissioner of Lobbying
Karen Ellis,Karen Ellis,2011-02-23,2015-11-18,51,Associate Deputy Minister
Karen Feeley,Karen Feeley,2013-09-05,2013-09-05,1,Executive Assistant
Karen Fogwill,Karen Fogwill,2023-06-08,2023-06-12,2,Program Manager
Karen Fortin,Karen Fortin,2023-04-11,2024-05-08,4,Director
Karen Gaumond,Karen Gaumond,2016-03-03,2016-03-11,2,Senior Policy Analyst
Karen Gill,Karen Gill,2017-10-16,2022-04-25,5,Parliamentary Assistant
Karen Grimsrud,Karen Grimsrud,2010-06-29,2010-06-29,1,Senior Medical Advisor
Karen Hall,Karen Hall,2017-10-25,2025-03-28,26,Assistant Deputy Minister
Karen Harracksingh,Karen Harracksingh,2017-01-20,2021-06-03,2,Assistant Chief of Staff
Karen Hodgson,Karen Hodgson,2017-08-17,2018-05-09,6,Deputy Director
Karen Hogan,Karen Hogan,2021-04-07,2024-04-10,4,Auditor General of Canada
Karen Jackson,Karen Jackson,2008-09-09,2010-09-30,10,Associate Deputy Minister
Karen Jans,Karen Jans,2021-02-23,2021-02-23,1,"Field Unit, Prince Edward Island"
Karen Jensen,Karen Jensen,2019-12-11,2022-10-28,30,"Commissioner, Pay Equity"
Karen Jenson,Karen Jenson,2021-06-29,2021-06-29,1,"Commissioner, Pay Equity"
Karen Kastner,Karen Kastner,2019-05-01,2021-03-18,4,Vice President
Karen Kennedy,Karen Kennedy,2012-07-06,2024-06-19,4,Senior Trade Commissioner
