raw name,cleaned name,first_appearance,last_appearance,count,title
Madeleine Wheeler,Madeleine Wheeler,2023-09-26,2023-09-26,1,Policy Advisor
Madeleine Wieler,Madeleine Wieler,2022-11-04,2024-12-03,29,"Senior Regional Advisor, Ontario"
Madeliene Gomery,Madeliene Gomery,2020-02-05,2020-02-05,1,Policy Advisor
Madeliene Wieler,Madeliene Wieler,2024-02-26,2024-02-26,1,Special Assistant
Madeline Belanger Trottier,Madeline Belanger Trottier,2023-01-24,2023-12-20,2,Economic Analyst
Madeline Gomery,Madeline Gomery,2020-02-21,2020-06-29,2,"Assistant, Parliamentary Relations and Operations"
Madeline Hewett,Madeline Hewett,2022-11-14,2024-07-05,4,Manager
Madeline Hewitt,Madeline Hewitt,2015-02-02,2015-02-02,1,"Senior Analyst, Trade and Regulatory Team"
Madeline Inchley,Madeline Inchley,2024-06-10,2024-06-10,1,Policy Advisor
Madeline Martin,Madeleine Martin,2022-10-20,2022-10-20,1,Parliamentary Intern
Madeline Stieva,Madeline Stieva,2014-06-09,2015-05-28,3,Executive Assistant
Madeline Weiler,Madeline Weiler,2024-08-21,2024-08-21,1,Regional Advisor
Madeline Wieler,Madaleine Wieler,2024-06-06,2024-06-06,1,"Senior Regional Advisor, Ontario"
Madelyn Mckeen,Madelyn Mckeen,2021-07-27,2021-07-27,1,Policy Analyst
Mader Dan,Mader Dan,2008-11-06,2008-11-06,1,Senior Policy Advisor
Madga Little,Madga Little,2017-06-27,2017-06-27,1,Manager
Madhav Panday,Madhav Panday,2024-09-19,2025-02-11,3,Primary Analyst
Madhvi Russel,Madhvi Russel,2022-06-30,2022-06-30,1,"Director, Western Canada, Integrated Regional Planning"
Madhvi Russell,Madhvi Russell,2016-10-28,2023-10-24,6,Director
Madison Ciponi,Madison Ciponi,2019-04-03,2019-04-03,1,Parliamentary Assistant
Madison Cox,Madison Cox,2014-07-11,2014-07-11,1,Manager
Madison Gorsche,Madison Gorsche,2018-02-16,2020-11-17,5,Parliamentary Affairs Advisor
Madison Grorsche,Madison Grorsche,2018-06-13,2018-06-13,1,"Parliamentary Research Assistant, Senate"
Madison Lavers,Madison Lavers,2023-10-10,2023-10-10,1,Junior Policy Analyst
Madison Mcsweeney,Madison Mcsweeney,2022-08-17,2024-10-07,9,Parliamentary Research Assistant
Madison Pearson,Madison Pearson,2022-07-11,2022-07-11,1,Staffer
Madison Taipalus,Madison Taipalus,2017-08-08,2025-02-19,85,Policy Advisor
Madlyn Jardine,Madlyn Jardine,2014-02-12,2014-06-17,3,Parliamentary Assistant
Madona Radi,Madona Radi,2017-08-29,2025-05-13,37,Director General
Madonna Buentiempo,Madonna Buentiempo,2022-09-09,2022-09-09,1,Program Officer
Madonna Kent,Madonna Kent,2013-02-18,2014-11-07,3,"Director General, Advocacy and Industrial Benefits"
Madonna Radi,Madona Radi,2024-08-20,2024-08-20,1,Director General
Madrin Macgillivray,Madrin Macgillivray,2021-02-05,2021-02-05,1,Constituency Assistant
Madvhi Russel,Madvhi Russel,2023-07-26,2023-07-26,1,"Director, Western Canada Integrated Regional Planning"
Madwa Nika Cadet,Madwa-nika Cadet,2021-10-29,2021-10-29,1,Policy Advisor
Madwa Phanord-cadet,Madwa Phanord-cadet,2021-02-23,2021-02-23,1,Senior Policy Advisor
Madwa-nika Cadet,Madwa-nika Cadet,2021-01-22,2022-02-01,92,Policy Advisor
Madwa-nika Phanord-cadet,Madwa-nika Phanord-cadet,2021-01-11,2022-01-17,47,Policy Advisor
Madzouka Kokolo,Madzouka Kokolo,2022-03-15,2022-03-15,1,Epidemiologist
Mae Johnson,Mae Johnson,2017-05-17,2024-05-15,15,Director
Maeva Proteau,Maeva Proteau,2020-12-01,2024-09-23,26,Policy Advisor
Maeva ]proteau,Maeva ]proteau,2024-03-22,2024-03-22,1,"Director, Security, Intelligence and Protocol"
Maeve Kelly,Maeve Kelly,2021-05-27,2022-12-13,2,Communications Assistant
Maeve Proteau,Maeve Proteau,2023-10-03,2023-10-03,1,Policy Advisor
Magali Francoeur,Magali Francoeur,2011-03-29,2011-03-29,1,Operational Policy Officer
Magali Stretch,Magali Stretch,2023-05-10,2023-05-10,1,Assistant Director
Magaret Biggs,Magaret Biggs,2009-03-10,2009-03-10,1,President
Magaret Buist,Magaret Buist,2021-12-15,2021-12-15,1,Vice President
Magas Yusef,Magas Yusef,2020-12-14,2020-12-14,1,Special Assistant
Magas Yusuf,Magas Yusuf,2020-07-21,2020-12-08,7,Special Assistant
Magda Hovjacky,Magda Hovjacky,2024-02-27,2024-02-27,1,"Director General, Long Term Vision and Planning"
Magda Little,Magda Little,2017-06-27,2025-03-05,97,Director
Magdalena Jagla,Magdalena Jagla,2024-05-09,2024-05-09,1,Section Manager
Magdalena Turk,Magdalena Turk,2019-05-09,2019-05-09,1,"Account Manager, Accreditation Services"
Magdi Habib,Magdi Habib,2014-11-18,2024-11-22,5,Director General
Maggie Bunbury,Maggie Bunbury,2023-10-25,2023-10-25,1,Policy Advisor
Maggie Crump,Maggie Crump,2020-04-09,2021-02-22,2,Parliamentary Affairs Advisor
Maggie Dehaan,Maggie Dehaan,2014-10-15,2014-10-15,1,Senior Policy Advisor
Maggie Graham,Maggie Graham,2024-10-30,2024-10-30,1,Acting Associate Director
Maggie Julian,Maggie Julian,2017-08-18,2017-08-18,1,Senior Advisor
Maggie Kawalerczak,Maggie Kawalerczak,2023-04-26,2023-04-26,1,Program Officer
Maggie Rego,Maggie Rego,2021-05-05,2025-03-04,3,Senior Advisor
Maggie Saunders,Maggie Saunders,2022-05-26,2022-05-26,1,Director
Maggie Woodley,Maggie Woodley,2025-04-09,2025-05-06,3,Program Analyst
Maha Jawass,Maha Jawass,2024-04-17,2024-04-19,3,"Regional Advisor, Prairies"
Maha Spek,Maha Spek,2024-12-03,2024-12-03,1,Trade Commissioner
Maha Suepaul,Maha Suepaul,2023-09-07,2025-01-09,12,Manager
Mahafarid Seddigh,Mahafarid Seddigh,2022-05-03,2022-05-03,1,Parliamentary Assistant
Maham Yousufzhai,Maham Yousufzhai,2024-08-15,2024-08-15,1,Policy Analyst
Mahamat Djalal,Mahamat Djalal,2021-04-06,2024-03-06,5,Advisor
Mahamat-zene Djalal,Mahamat-zene Djalal,2021-12-07,2021-12-07,1,Regional Advisor for Quebec | Assistant to the Parliamentary Secretary
Mahdi Ellorhaoui,Mahdi Ellorhaoui,2023-02-01,2023-12-14,5,Parliamentary Assistant
Maheep Sadhu,Maheep Sadhu,2023-06-07,2023-06-07,1,Communications Advisor
Maheep Sandhu,Maheep Sandhu,2022-05-31,2025-02-12,109,Advisor
Maheep Sandu,Maheep Sandu,2023-12-06,2023-12-06,1,Strategic Communications Advisor and Parliamentary Advisor
Maher Doleh,Maher Doleh,2022-04-29,2022-05-11,2,Trade Commissioner
Maher Mamhikoff,Maher Mamhikoff,2016-12-07,2017-03-28,2,Director
Mahesh Patel,Mahesh Patel,2013-04-02,2013-04-02,1,Special Advisor
Mahmoud Elshal,Mahmoud Elshal,2023-04-13,2023-04-13,1,Staffer
Mahmud Naqi,Mahmud Naqi,2022-06-01,2022-06-01,1,Senior Policy Advisor
