raw name,cleaned name,first_appearance,last_appearance,count,title
Rachel Rappaport,Rachel Rappaport,2014-10-02,2020-11-10,9,Parliamentary Secretary
Rachel Rodin,Rachel Rodin,2021-02-04,2021-02-04,1,Acting Director General and Senior Medical Advisor to Vice President
Rachel Salamena,Rachel Salamena,2022-02-18,2022-10-18,3,Senior Policy Analyst
Rachel Soares,Rachel Soares,2019-10-23,2019-10-23,1,Trade Commissioner
Rachel Sutton,Rachel Sutton,2022-12-21,2023-12-09,35,Policy Advisor
Rachel Thomas,Rachael Thomas,2021-12-07,2025-05-29,8,Member of Parliament
Rachel Vallender,Rachel Vallender,2022-08-24,2022-10-04,2,"Director, Domestic Engagement and Partnerships, CDB COP15"
Rachel Watterson,Rachel Watterson,2023-11-17,2023-11-17,1,Advisor
Rachel Wenick,Rachel Wernick,2019-05-27,2019-05-27,1,Senior Assistant Deputy Minister
Rachel Wernick,Rachel Wernick,2009-01-07,2022-02-15,101,Senior Assistant Deputy Minister
Rachel Yantha,Rachel Yantha,2024-12-10,2025-02-27,2,Constituency Assistant
Rachelle Bernardi,Rachelle Bernardi,2010-10-19,2010-10-19,1,Special Assistant
Rachelle Besner,Rachelle Besner,2024-06-14,2024-10-18,2,Deputy Director
Rachelle Boit,Rachelle Boit,2014-09-17,2014-09-17,1,Senior Analyst
Rachelle Constant,Rachelle Constant,2024-02-15,2024-02-15,2,Procurement Specialist
Rachelle Dean,Rachelle Dean,2020-07-02,2020-07-02,1,"Manager, Digital Sector Ecosystems"
Rachelle Dubois,Rachelle Dubois,2023-08-23,2024-05-29,5,Parliamentary Affairs Advisor
Rachelle Duval,Rachelle Duval,2024-06-14,2024-06-14,1,"Acting Director, Domestic Fisheries Policy"
Rachelle Frenette,Rachelle Frenette,2012-09-05,2024-08-28,6,General Counsel and Deputy Executive Director
Rachelle Mcgregor,Rachelle Mcgregor,2024-08-22,2025-01-09,4,"Director, Agile Procurement and Business Management, Enterprise IT Procurement"
Racquel Franco,Raquel Franco,2022-11-22,2022-11-22,1,Legislative Assistant
Radan Mackenzie,Radan Mackenzie,2016-07-19,2018-01-17,4,Issues Manager
Radey Barrack,Radey Barrack,2016-10-25,2024-08-08,77,Director of Operations
Radha Subrahami,Radha Subramani,2022-06-23,2022-06-23,1,Director of Operations
Radha Subramani,Radha Subramani,2017-05-16,2024-11-26,115,Director of Operations
