raw name,cleaned name,first_appearance,last_appearance,count,title
Sadia Groguhe,Sadia Groguhe,2011-09-14,2015-05-26,35,Member of Parliament
Sadia Saeed,Sadia Saeed,2017-10-05,2024-09-17,5,Trade Commissioner
Sadie Cann,Sadie Cann,2023-10-03,2023-10-04,3,Member of Parliament
Sadie Ghosen,Sadie Ghosen,2018-10-02,2018-10-02,1,"Regional Economic Advisor, Atlantic"
Sadie Ghosn,Sadie Ghosn,2018-02-06,2021-03-02,17,Director of Operations
Sadie Goshn,Sadie Ghosn,2019-06-03,2020-10-09,2,Director of Operations
Sadie Harrison,Sadie Harrison,2024-01-09,2024-06-25,2,Policy Analyst
Sadoe Ghosn,Sadie Ghosen,2019-01-30,2019-01-30,1,"Regional Economic Advisor, Atlantic"
Saeed Khan,Saeed Khan,2017-04-05,2017-09-26,2,"Policy Advisor, Safety"
Saeedi Khusro,Saeedi Khusro,2024-05-08,2024-05-08,1,"Senior Director, Framework Policy"
Safeena Alarakhia,Safeena Alarakhia,2017-10-19,2017-10-19,1,Chief of Staff
Sahad Khalladi,Sahad Khalladi,2024-06-06,2024-06-06,1,Deputy Director
Sahil Behal,Sahil Behal,2017-05-29,2021-03-03,3,Director
Sahili Patel,Shali Patel,2022-03-04,2022-03-04,1,Director of Policy
Sahir Khan,Sahir Khan,2012-05-01,2012-05-01,1,Assistant Parliamentary Budget Officer
Sahondra Harilala Rakotoniaina,Sahondra Harilala Rakotoniaina,2024-05-28,2024-05-28,1,"Chargé d'Affaires, Embassy of the Republic of Madagascar"
Saide Ghosn,Saide Ghosn,2018-04-27,2018-04-27,1,"Special Assistant, Atlantic"
Saika Sarazin,Saika Sarazin,2024-06-04,2025-05-05,7,Senior Market Advisor
Saika Sarrazin,Saika Sarrazin,2025-02-07,2025-02-07,1,Advisor
Sailesh Thacker,Sailesh Thacker,2009-02-11,2009-02-11,1,Vice President
Sailou Babou,Sailou Babou,2020-08-31,2020-08-31,2,Head of Innovation
Saima Chaudhry,Saima Chaudhry,2019-08-19,2019-08-19,1,Program Advisor
Saima Chaudry,Saima Chaudhry,2021-04-09,2021-04-09,1,Program Advisor
Saindon Gilles,Saindon Gilles,2015-04-22,2015-04-22,1,Associate Assistant Deputy Minister
Saini Raj,Saini Raj,2020-11-12,2020-11-12,1,Member of Parliament
Saini Sabina,Saini Sabina,2017-10-31,2020-02-12,2,"Chief of Staff, Health"
Saint Denis Paul,Saint Denis Paul,2012-07-17,2012-07-17,1,Senior Counsel
Saint-vincent Samuel,Saint-vincent Samuel,2024-11-15,2024-11-15,1,Senior Policy Advisor
Saira David,Saira David,2018-10-04,2019-03-14,3,Director
Sajjan Harjit,Harjit Sajjan,2021-12-01,2021-12-01,1,"Minister, International Development"
Sajjid Lakhani,Sajjid Lakhani,2021-02-23,2022-01-24,2,Constituency Assistant
Sal Rabbani,Sal Rabbani,2022-08-24,2022-08-31,2,Managing Partner
Salah Bendaoud,Salah Bendaoud,2017-04-04,2017-04-04,1,"Head of Mission, Canadian Embassy"
Salam Samara,Salam Samara,2023-09-28,2023-09-28,1,Constituency Assistant
Saleem Saatar,Saleem Saatar,2017-10-05,2017-10-05,1,Director
Saleem Sattar,Saleem Sattar,2016-12-08,2020-04-01,7,Director General
Saleha Assadzada,Saleha Assadzada,2019-07-25,2019-07-25,1,Executive Assistant to the Minister
Salem Alahmad,Salem Alahmad,2017-07-18,2021-08-11,58,"Special Assistant, Regional Affairs"
Salem Alahmed,Salem Alahmad,2021-03-22,2021-03-22,1,"Special Assistant, Regional Affairs"
Salembier Gerry,Salembier Gerry,2014-08-28,2014-08-28,1,Assistant Deputy Minister
Salena Brickey,Salena Brickey,2023-12-07,2023-12-07,1,Director
Sally Dimachki,Sally Dimachki,2022-02-17,2022-02-17,1,Policy Analyst
Sally Gibbs,Sally Gibbs,2019-12-04,2024-09-23,3,Acting Director General
Sally Harris,Sally Harris,2013-05-28,2021-05-03,3,Parliamentary Assistant
Sally Housser,Sally Housser,2012-05-03,2012-05-03,1,Press Secretary
Sally Koornneef,Sally Koornneef,2022-06-22,2025-02-12,7,Trade Commissioner
Sally Mccloskey,Sally Mccloskey,2023-01-30,2023-01-30,1,Coordinator
Sally Prawdzik,Sally Prawdzik,2024-02-09,2024-02-09,1,Acting Director
Sally Rideout,Sally Rideout,2023-05-08,2023-05-08,1,Senior Commerce Advisor
Sally Scott,Sally Scott,2015-06-02,2024-10-21,5,Executive Director
Sally Thornton,Sally Thornton,2014-09-30,2020-05-07,11,Vice President
Salma Ataullahjan,Salma Ataullahjan,2011-11-15,2025-02-26,42,Senator
Salma Ataullajan,Salma Ataullahjan,2014-05-15,2014-05-15,1,Senator
Salma Sahid,Salma Zahid,2021-01-26,2021-01-26,1,Member of Parliament
Salma Zahid,Salma Zahid,2016-02-02,2025-06-04,338,Member of Parliament
Salma Zyed,Salma Zyed,2016-05-02,2016-05-02,1,Member of Parliament
Salman Abbas,Salman Abbas,2020-05-22,2022-09-19,11,Parliamentary Assistant
Salman Arif,Salman Arif,2017-10-11,2023-05-09,19,Director of Operations
Salman Ataullahjan,Salma Ataullahjan,2019-01-25,2019-01-25,1,Senator
Salman Dostmohammed,Salman Dostmohammed,2021-08-16,2021-08-16,1,Economist
Salman Rasheed,Salman Rasheed,2018-02-14,2024-12-20,2,"Superintendent, Banff Field Unit"
Salphie Stephanian,Salphie Stephanian,2012-07-19,2012-07-19,1,Assistant to the Prime Minister
Salpie Stepanian,Salpie Stepanian,2013-06-27,2013-06-27,1,Manager
Sam Banks,Sam Banks,2011-02-07,2011-12-09,2,"Analyst, Library of Parliament"
Sam Barone,Sam Barone,2014-10-30,2017-10-10,15,Vice Chair
Sam Boonstra,Sam Boonstra,2011-01-25,2023-04-17,4,Executive Director
Sam Bryant,Sam Bryant,2024-02-08,2024-08-28,3,Office Manager
Sam Carnovale,Sam Carnovale,2019-12-19,2019-12-19,1,Director
Sam Chaudhury,Sam Chaudhury,2023-01-16,2023-01-16,1,Communications Advisor
Sam Coates,Sam Coates,2013-11-01,2013-11-01,1,Communications Advisor
Sam Duncan,Sam Duncan,2014-03-19,2014-11-25,2,"Director, Parliamentary Affairs"
Sam Eberlee,Sam Eberlee,2017-07-19,2020-08-05,2,Special Assistant
Sam Eisleb-taylor,Sam Eisleb-taylor,2017-05-30,2017-05-30,1,Policy Analyst
Sam Fotia,Sam Fotia,2022-04-13,2022-10-11,2,Acting Deputy Director
Sam Galea,Sam Galea,2020-02-26,2020-02-26,1,Member's Assistant
Sam Gruchy,Sam Gruchy,2024-01-31,2024-06-28,3,"Special Assistant, Atlantic Desk"
Sam Hersh,Sam Hersh,2017-06-05,2017-06-05,1,Staffer
Sam Leduc,Sam Leduc,2024-05-22,2025-02-11,5,Parliamentary Assistant
Sam Lilley,Sam Lilley,2023-04-18,2023-04-18,2,Press Secretary
Sam Lilly,Sam Lilley,2023-04-18,2023-04-18,1,Press Secretary
Sam Manougian,Sam Manougian,2016-07-25,2016-07-25,1,Constituency Assistant
Sam Mansfield,Sam Mansfield,2025-04-23,2025-04-23,1,Environmental Analyst
Sam Millar,Sam Millar,2013-04-30,2025-03-28,23,Director General
Sam Miller,Sam Miller,2023-11-23,2023-11-23,1,Associate Assistant Deputy Minister
Sam Nadler,Sam Nadler,2021-03-11,2021-03-11,1,Senior Policy Advisor
Sam Ndayishimye,Sam Ndayishimye,2023-03-09,2023-03-09,1,Chief of Staff
Sam Parker,Sam Parker,2023-11-07,2024-10-29,8,Staffer
Sam Ryan,Sam Ryan,2016-04-21,2018-11-14,3,Director General
Sam Saint Vincent,Sam Saint-vincent,2024-02-05,2024-10-02,3,Senior Policy Advisor
Sam Saint-vincent,Sam Saint-vincent,2021-01-07,2024-10-22,8,Senior Policy Advisor
Sam Sambasivam,Sam Sambasivam,2018-11-07,2020-11-09,3,Senior Policy Advisor
Sam Speer,Sam Speer,2011-11-08,2011-11-22,2,"Director, Stakeholder Relations"
Sam St. Vincent,Sam St. Vincent,2024-10-11,2024-10-11,1,Special Advisor
Sam Sullivan,Sam Sullivan,2019-10-23,2019-10-24,2,"Opposition Critic, Advanced Education"
Sam Van Der Veer,Sam Van Der Veer,2013-10-30,2014-04-14,2,Policy Advisor
Sam Vandeerveer,Sam Vanderveer,2014-03-13,2014-03-31,2,Policy Advisor
Sam Vanderueer,Sam Vanderueer,2012-01-16,2012-01-16,1,Executive Assistant to the Chief of Staff
Sam Vanderveer,Sam Vanderveer,2012-07-11,2014-06-17,36,Policy Advisor
Sam Weiss,Sam Weiss,2022-05-02,2024-10-17,2,Scientific Director
Sam Yorke,Sam Yorke,2017-06-06,2020-04-24,6,Director of Policy
Samanta O'grady,Samantha Ogrady,2019-02-26,2019-02-26,1,Senior Policy Advisor
Samantha Brimble,Samantha Brimble,2023-03-21,2023-03-21,1,Senior Scientific Evaluator
Samantha Burton,Samantha Burton,2020-10-15,2020-10-15,1,Head of Outreach
Samantha Decaria,Samantha Decaria,2018-05-28,2018-05-28,1,Acting Assistant Director
Samantha Dickson,Samantha Dickson,2020-11-27,2020-11-27,1,Assistant Deputy Minister
Samantha El-ghazal,Samantha El-ghazal,2023-10-03,2023-12-18,2,Policy Analyst
Samantha Feder,Samantha Feder,2024-04-17,2024-04-17,1,Policy Analyst
Samantha Hadler,Samantha Hadler,2019-04-24,2019-04-24,1,Parliamentary Secretary Assistant
Samantha Hazen,Samantha Hazen,2021-04-09,2021-04-09,1,Chief Financial Officer | Assistant Deputy Minister
Samantha Hogg,Samantha Hogg,2025-01-22,2025-01-22,1,"Policy Analyst, Northern and Polar Relations"
Samantha Kerr,Samantha Kerr,2022-02-11,2022-02-18,3,Investment Analyst
Samantha Khalil,Samantha Khalil,2019-03-28,2023-03-31,8,"Senior Manager, Issues Management and Parliamentary Affairs"
Samantha Khoury,Samantha Khoury,2025-03-04,2025-03-04,1,"Investment Services Advisor, US"
Samantha Mcdonald,Samantha Mcdonald,2024-04-08,2024-10-09,4,Deputy Chief
Samantha Menardi,Samantha Menardi,2023-10-11,2023-10-11,1,Data Analyst
Samantha Morton,Samantha Morton,2023-01-27,2023-01-27,1,Policy Analyst
Samantha Nadler,Samantha Nadler,2016-01-27,2021-10-04,38,Policy Advisor
Samantha Nault,Samantha Nault,2017-10-13,2017-10-13,1,Special Assistant
Samantha O'grady,Samantha Ogrady,2018-03-29,2019-09-11,8,Senior Policy Advisor
Samantha Oxley,Samantha Oxley,2021-08-06,2022-09-16,5,Senior Program Advisor
Samantha Setiawan,Samantha Setiawan,2023-02-03,2024-10-22,16,Financial Investment Analyst
Samantha Smitiuch,Samantha Smitiuch,2020-09-16,2023-10-24,13,Director of Operations
Samantha Tam,Samantha Tam,2016-11-24,2017-08-23,3,Senior Trade Policy Officer
Samantha Tattersall,Samantha Tattersall,2011-09-15,2019-04-11,4,Director General
Samantha Thompson,Samantha Thompson,2022-12-01,2022-12-05,2,Policy Advisor
Samantha Wilson-clark,Samantha Wilson-clark,2025-02-26,2025-02-26,1,Director General
Samar Abid,Samar Abid,2017-10-31,2017-10-31,1,Policy Officer
Samar Assoum,Samar Assoum,2016-10-27,2019-05-08,9,Special Assistant
Samar Khan,Samar Khan,2020-03-12,2024-05-02,40,Policy Advisor
Samara Assoum,Samara Assoum,2017-11-23,2017-11-23,2,Special Assistant
Samara Organa,Samara Organa,2018-07-24,2018-07-24,1,Senior Supervisor
Samatha Oxley,Samantha Oxley,2022-08-23,2022-11-15,2,Senior Program Advisor
Sambasivam Bud,Sambasivam Bud,2022-09-22,2022-09-22,1,Senior Policy Advisor
Sameena Qureshi,Sameena Qureshi,2025-01-14,2025-01-14,1,Minister Counsellor and Senior Trade Commissioner
Sameer Ahmed,Sameer Ahmed,2022-12-05,2022-12-05,1,Acting Consul General
Sameer Zubari,Sameer Zuberi,2021-03-03,2021-03-03,1,Member of Parliament
Sameer Zuberi,Sameer Zuberi,2020-01-27,2025-06-11,135,Member of Parliament
Samer Said,Samer Said,2023-12-01,2023-12-01,1,Director
Sami Khoury,Sami Khoury,2018-03-26,2025-05-28,72,Head
Samielle Harris,Samielle Harris,2021-07-05,2022-04-27,3,Chief of Staff
Samih Bawardidi,Samih Bawardidi,2024-12-06,2024-12-06,1,Financial Investment Analyst
Samih Bawaridi,Samih Bawaridi,2024-10-25,2025-02-24,18,Financial Analyst
Samir Boughaba,Samir Boughaba,2022-05-16,2022-05-16,1,Deputy Director
Samir Chahbra,Samir Chhabra,2023-06-07,2023-06-07,1,Director General
Samir Chhabra,Samir Chhabra,2013-05-22,2025-05-22,70,Director General
Samir Hussein,Samir Hussein,2022-11-02,2022-11-02,1,Policy Advisor
Samir Kassam,Samir Kassam,2018-05-09,2025-05-31,714,Director of Policy
Samir Kassan,Samir Kassan,2016-09-14,2016-09-14,1,Constituency Assistant
Samir Kassem,Samir Kassam,2024-09-18,2024-09-18,1,Director of Policy
Samir Khan,Samir Khan,2018-07-27,2025-05-28,24,Director
Samir Sassam,Samir Kassam,2024-05-01,2024-05-01,1,Director of Policy
Sammi-jo Willet,Sammi-jo Willet,2025-01-13,2025-01-13,1,Senior Program Delivery Manager
Sammir Kassam,Sammir Kassam,2022-04-29,2022-04-29,1,Policy Advisor
Sample Robert,Sample Robert,2018-09-04,2018-09-04,1,"Senior Director, Market Policy"
Samriddha Chaudhury,Samriddha Chaudhury,2022-09-28,2022-09-28,1,Communications Advisor
Samriddhha Chaudhury,Samriddhha Chaudhury,2024-11-15,2024-11-15,1,"Writer and Communications Advisor, Prime Minister's Office"
Samson Paul,Samson Paul,2013-09-13,2013-09-13,1,Assistant Deputy Minister
Samual Duncan,Samual Duncan,2010-11-19,2010-11-19,1,Legislative Assistant
Samual Millar,Samuel Millar,2020-02-12,2024-10-11,3,Associate Assistant Deputy Minister
Samual Miller,Samuel Millar,2024-06-06,2024-06-06,1,Associate Assistant Deputy Minister
Samuel Aisha,Samuel Aisha,2020-02-28,2020-02-28,1,Senior Investment Analyst
Samuel Angulo,Samuel Angulo,2018-02-09,2018-02-09,1,Constituency Assistant
Samuel Bryant,Samuel Bryant,2023-11-28,2023-11-28,1,"Manager, Constituency and Community Outreach"
Samuel Chariter-trudel,Samuel Chariter-trudel,2020-12-18,2020-12-18,1,Parliamentary Assistant
Samuel Coates,Samuel Coates,2014-04-30,2014-04-30,1,Communications Officer
Samuel Duncan,Samuel Duncan,2010-11-12,2015-07-16,4,"Director, Parliamentary Affairs"
Samuel Fleury,Samuel Fleury,2019-08-22,2023-10-24,2,"Advisor, Financial Institutions Division"
Samuel Forrest,Samuel Forrest,2025-01-28,2025-01-28,1,Office Manager
Samuel Fortin-pouliot,Samuel Fortin-pouliot,2020-11-12,2021-05-31,7,Parliamentary Assistant
Samuel Generoux,Samuel Generoux,2023-11-22,2025-03-06,4,Manager
Samuel Godefory,Samuel Godefroy,2012-10-16,2012-10-22,2,Director General
Samuel Godefroy,Samuel Godefroy,2009-04-28,2015-02-17,26,Director General
Samuel Gruchy,Samuel Gruchy,2023-11-17,2025-02-24,15,Atlantic Desk
Samuel Grunchy,Samuel Grunchy,2024-05-01,2024-05-01,1,Atlantic Desk
Samuel Lamontagne,Samuel Lamontagne,2016-12-15,2016-12-15,1,Administrative Assistant
Samuel Laryea,Samuel Laryea,2021-07-21,2021-07-21,1,Research Manager
Samuel Marleau Ouellet,Samuel Marleau-ouellet,2018-10-24,2018-10-24,1,Director
Samuel Marleau-ouellet,Samuel Marleau-ouellet,2018-09-04,2018-11-29,3,Director
Samuel Michaud,Samuel Michaud,2018-06-21,2018-06-21,1,Constituency Assistant
Samuel Millar,Samuel Millar,2010-04-27,2025-06-10,369,Associate Assistant Deputy Minister
Samuel Millar Cfne,Samuel Millar Cfne,2020-07-21,2020-07-21,1,Director General
Samuel Miller,Samuel Millar,2017-05-10,2024-11-25,6,Associate Assistant Deputy Minister
Samuel Mongrain,Samuel Mongrain,2022-09-29,2024-05-07,2,Advisor
Samuel Morin,Samuel Morin,2015-01-06,2015-01-06,1,Senior Program Advisor
Samuel Murray,Samuel Murray,2022-09-28,2024-06-27,16,"Director, Parliamentary Affairs"
Samuel Pare,Samuel Pare,2023-02-13,2023-12-04,4,Senior Tax Policy Officer
