raw name,cleaned name,first_appearance,last_appearance,count,title
Olivia Scieur-aparicio,Olivia Scieur-aparicio,2021-04-23,2024-07-07,6,Policy Advisor
Olivia Tam,Olivia Tam,2016-06-02,2016-06-21,2,Constituency Assistant
Olivia Wright,Olivia Wright,2023-09-21,2024-11-21,4,Executive Assistant
Olivia Wu,Olivia Wu,2023-10-26,2024-10-02,7,Tax Policy Officer
Olivier Anderson,Oliver Anderson,2024-03-21,2024-03-21,1,Communications Advisor
Olivier Auger,Olivier Auger,2017-02-22,2021-11-30,4,Political Advisor
Olivier Beaubier,Olivier Beaubier,2016-08-11,2016-08-11,1,Policy Advisor
Olivier Beaulieu-charbonneau,Olivier Beaulieu-charbonneau,2014-09-19,2016-01-29,3,"Sector Specialist, Dairy Products"
Olivier Bergeron,Olivier Bergeron,2019-06-20,2021-02-25,2,Policy Advisor
Olivier Blake,Olivier Blake,2020-04-02,2020-04-02,1,Policy Advisor
Olivier Bourbeau,Olivier Bourbeau,2012-11-13,2012-11-13,1,"Special Advisor, Quebec"
Olivier Bullion,Olivier Bullion,2021-11-16,2022-01-11,2,"Director, Sustainable Development Goals 2030"
Olivier Button,Olivier Button,2019-04-16,2019-04-16,1,Policy Analyst
Olivier Caron,Olivier Caron,2022-11-08,2022-11-15,2,Procurement Manager
Olivier Cullen,Olivier Cullen,2016-05-16,2023-01-24,80,Director of Operations
Olivier Descheneau,Olivier Descheneau,2019-12-11,2019-12-11,1,Chief of Staff
Olivier Duchesmeau,Olivier Duchesneau,2020-03-20,2020-03-20,1,Senior Advisor
Olivier Duchesneau,Olivier Duchesneau,2016-08-23,2022-01-18,109,Senior Advisor
Olivier Duhaime,Olivier Duhaime,2016-03-30,2021-06-15,74,Senior Special Assistant
Olivier Duscheneau,Olivier Duscheneau,2017-06-15,2020-09-21,3,Senior Advisor
Olivier Duschesneau,Olivier Duchesneau,2020-02-20,2020-10-16,4,Senior Advisor
Olivier Dushesneau,Oliver Duchesneau,2017-10-02,2017-10-19,2,Chief of Staff
Olivier Hebert,Olivier Hebert,2012-12-05,2015-06-09,59,Director of Policy
Olivier Jarda,Olivier Jarda,2019-03-26,2021-12-01,140,Policy Advisor
Olivier Nicoloff,Olivier Nicoloff,2012-09-10,2012-09-10,1,Director
Olivier Paradis Beland,Olivier Paradis Beland,2020-07-31,2023-09-26,19,Senior Economist
Olivier Paradis-beland,Olivier Paradis Beland,2021-01-21,2021-01-21,1,Senior Economist
Olivier Pilon,Olivier Pilon,2021-06-07,2024-01-17,7,Press Secretary
Olivier Quirion,Olivier Quirion,2021-03-15,2025-02-25,27,Director
Olivier Quiron,Olivier Quirion,2023-12-06,2023-12-06,1,Director
Olivier Tremblay-venner,Oliver Tremblay-venneri,2025-03-20,2025-03-20,1,Legislative Assistant
Olivier Tremblay-venneri,Olivier Tremblay-venneri,2023-10-05,2024-03-06,3,Political Advisor
Olivier Vander Zaag,Olivier Vander Zaag,2014-03-04,2014-03-04,1,Special Assistant to the Minister of State
Olumoye Ajao,Olumoye Ajao,2023-11-01,2023-11-01,1,"Senior Engineer, Natural Gas and Hydrogen Division"
Oluwatobi Adeyinka,Oluwatobi Adeyinka,2024-12-11,2024-12-11,3,Sector Analyst
Omar Algahabra,Omar Algahabra,2018-03-12,2018-03-12,1,Member of Parliament
Omar Algahbra,Omar Algahbra,2018-10-18,2018-10-18,2,Parliamentary Secretary
Omar Alghaba,Omar Alghaba,2019-04-02,2019-04-02,1,Parliamentary Secretary
Omar Alghabra,Omar Alghabra,2016-02-01,2025-02-11,568,"Minister, Transport"
Omar Alghanbra,Omar Algahabra,2018-12-11,2018-12-11,1,Member of Parliament
Omar Alghbra,Omar Algahabra,2017-11-30,2017-11-30,1,Member of Parliament
Omar Ali,Omar Ali,2022-03-10,2022-03-10,1,"Policy Analyst, Recruitment and Development Program"
Omar Arana-lopez,Omar Arana-lopez,2016-05-24,2016-05-24,1,Constituency Assistant
Omar El Shayal,Omar El Shayal,2011-06-24,2011-06-24,1,Senior Trade Commissioner
Omar Lockhart,Omar Lockhat,2021-03-30,2021-03-30,1,Senior Manager
Omar Lockhat,Omar Lockhat,2020-01-21,2024-11-18,5,Senior Manager
Omar Najm,Omar Najm,2023-07-26,2023-07-26,1,Director General
Omar Rajabali,Omar Rajabali,2013-10-15,2024-02-21,22,Director General
Omar Sabry,Omar Sabry,2016-11-22,2019-04-26,9,Policy Advisor
Omar Subhani,Omar Subhani,2019-06-25,2021-03-04,4,"Director General, Digital Strategy"
Omar Tounekti,Omar Tounekti,2022-08-17,2022-08-17,1,"Manager, Gene Therapies Division"
Omer Aziz,Omer Aziz,2017-11-29,2017-11-29,1,Policy Advisor
Omer Boudreau,Omer Boudreau,2011-01-12,2011-03-25,2,Vice President
Omron Ghadban,Omron Ghadban,2024-02-14,2024-02-14,1,Senior Procurement Advisor
Opdam Peter,Opdam Peter,2022-12-02,2022-12-02,1,Senior Policy Advisor
Ophelia John,Ophelia John,2021-04-16,2025-02-25,86,Senior Policy Advisor
Ophelia Johnson,Ophelia Johnson,2022-09-23,2022-09-23,2,Policy Advisor
Ophilia John,Ophilia John,2022-04-21,2022-04-21,1,Policy Advisor
Orbach Miller Harry,Orbach Miller Harry,2024-07-29,2024-07-29,1,Policy Advisor and Senior Coordinator
Oren Cainer,Oren Cainer,2009-05-28,2015-01-16,80,Senior Policy Advisor
Oren Canier,Oren Canier,2014-11-17,2014-11-17,1,Deputy Chief of Staff
Orest Dykyj,Orest Dykyj,2021-07-14,2021-07-14,1,"Deputy Director, Climate Finance"
