raw name,cleaned name,first_appearance,last_appearance,count,title
Ian Plante,Ian Plante,2015-03-04,2015-03-04,1,Chief of Staff
Ian Potter,Ian Potter,2008-07-08,2016-07-12,18,Vice President
Ian Poulter (mgen,Ian Poulter (mgen,2010-01-21,2010-03-23,2,Acting Chief of Staff
Ian Pourlter (mgen,Ian Poulter (mgen,2009-12-09,2009-12-09,1,Acting Chief of Staff
Ian Rogalski,Ian Rogalski,2020-02-24,2020-04-16,2,Senior Analyst
Ian S. Mackay,Ian S. Mackay,2010-10-21,2010-10-21,1,Member
Ian Sargeant,Ian Sargeant,2011-11-02,2011-11-02,1,Assistant Secretary
Ian Schugart,Ian Schugart,2010-06-08,2010-06-08,1,Deputy Minister
Ian Scott,Ian Scott,2017-10-05,2022-12-12,100,Chairman and CEO
Ian Sheppart,Ian Sheppart,2010-07-08,2010-07-08,1,Deputy Minister
Ian Shgart,Ian Schugart,2009-03-22,2009-03-22,1,Deputy Minister
Ian Shugart,Ian Shugart,2008-07-22,2023-11-15,222,Deputy Minister
Ian Shuggart,Ian Schugart,2008-07-22,2008-07-22,1,Deputy Minister
Ian Shughart,Ian Shughart,2014-03-10,2018-09-24,4,"Deputy Minister, Foreign Affairs"
Ian Stewart,Iain Stewart,2012-06-21,2018-11-08,8,President
Ian Stiskin,Ian Stiskin,2023-02-07,2024-02-26,4,Legislative Assistant
Ian Stones,Ian Stones,2017-03-08,2017-03-08,1,"Analyst, Space and Marine Directorate"
Ian Todd,Ian Todd,2008-12-22,2025-04-08,60,Chief of Staff
Ian Tyrrell,Ian Tyrrell,2016-09-27,2016-09-27,1,Senior Policy Advisor
Ian Wallace,Ian Wallace,2013-05-29,2013-05-29,1,Manager
Ian West,Ian West,2010-02-10,2015-04-02,123,Chief of Staff
Ian Widgett,Ian Widgett,2017-10-14,2020-07-22,2,Senior Trade Policy Analyst
Ian Wright,Ian Wright,2014-11-25,2018-01-29,4,"Chief, Financial Crimes - Domestic"
Iann Todd,Ian Todd,2009-05-21,2009-05-21,1,Chief of Staff
Iannick Lamirande,Iannick Lamirande,2013-11-29,2013-11-29,1,Senior Advisor
