raw name,cleaned name,first_appearance,last_appearance,count,title
Hannan Hassan,Hannan Hassan,2024-11-04,2024-11-04,1,Senior Communications Advisor
Hannoush Andre,Hannoush Andre,2015-07-13,2015-07-13,1,Policy Advisor
Hans Jung,Hans Jung,2011-09-06,2011-09-06,1,Surgeon General
Hans Pierre,Hans Pierre,2023-03-22,2023-03-22,1,Chief Information Officer
Hans Yu,Hans Yu,2024-11-15,2024-11-15,1,Executive Director
Hantz Prosper,Hantz Prosper,2022-05-26,2024-10-04,6,Director General
Haong Mai,Hoang Mai,2012-02-03,2012-02-13,2,Member of Parliament
Harb Abed,Harb Abed,2017-08-10,2017-11-21,2,Senior Policy Advisor
Harbinder Gill,Harbinder Gill,2025-06-11,2025-06-11,1,Member of Parliament
Hardave Birk,Hardave Birk,2016-06-07,2016-06-07,1,Director of Policy
Harder Peter,Harder Peter,2018-05-09,2018-05-09,1,Senator
Hardie Ken,Hardie Ken,2018-02-06,2018-02-06,1,Member of Parliament
Hardie Rath-wilson,Hardie Rath-wilson,2014-08-21,2017-05-16,7,Legislative Assistant
Hargrove Glen,Hargrove Glen,2021-04-08,2021-04-08,1,Assistant Deputy Minister
Hari Kukenthiran,Hari Kukenthiran,2023-03-07,2023-03-07,1,Policy Advisor
Harijit Saijan,Harijit Saijan,2016-11-23,2016-11-23,1,Member of Parliament
Harjit S Sajjan,Harjit Sajjan,2017-07-04,2017-07-04,1,Minister
Harjit S. Sajjan,Harjit Sajjan,2017-04-04,2025-01-01,7,Minister
Harjit Saajan,Harijit Saijan,2018-02-06,2018-02-06,1,Member of Parliament
Harjit Sadjin,Harjit Sadjin,2017-05-23,2017-05-23,1,"Minister, National Defence"
Harjit Saijan,Harjit Saijan,2016-03-08,2016-03-08,1,"Minister, Defence"
Harjit Sajan,Harjit Sajan,2018-12-13,2018-12-13,1,Minister
Harjit Sajin,Harijit Saijan,2020-05-23,2020-05-23,1,Member of Parliament
Harjit Sajjan,Harjit Sajjan,2015-11-27,2024-12-17,234,Minister
Harjit Sin Sajjan,Harjit Sajjan,2019-10-01,2019-10-01,1,Minister
Harjit Singh,Harjit Singh,2016-05-11,2016-05-11,1,Minister
Harjit Singh Sajjan,Harjit Sajjan,2015-11-13,2024-09-12,6,Minister
Harjit Singh Sarjjan,Harjit Singh Sarjjan,2016-03-08,2016-03-08,1,Minister of National Defence
Harjitt Sajjan,Harjit Sajan,2017-11-28,2017-11-28,1,Minister
Harley Juniper,Harley Juniper,2022-05-26,2022-05-26,1,"Manager, Communications and Community Engagement"
Harnoor Kochar,Harnoor Kochar,2018-06-07,2018-06-07,1,Summer Intern
Harold Alberecht,Harold Albrecht,2017-02-14,2017-02-14,1,Member of Parliament
Harold Albrecht,Harold Albrecht,2008-12-18,2019-07-15,424,Member of Parliament
Harold Albrect,Harold Albrecht,2014-10-08,2015-04-28,3,Member of Parliament
Harold Albreicht,Harold Albrecht,2017-02-07,2017-02-07,1,Member of Parliament
Harold Albretch,Harold Albrecht,2012-06-19,2012-11-20,2,Member of Parliament
Harold Albrtecht,Harold Albrecht,2018-06-07,2018-06-07,1,Member of Parliament
Harold Boies,Harold Boies,2016-06-01,2022-10-07,21,"Director, Periodical Policy and Programs"
Harold Boudreau,Harold Boudreau,2010-03-25,2010-03-25,1,Pharmacy Consultant
Harold Deck,Harold Deck,2013-11-12,2013-11-12,1,"Senior Manager, Industrial Development"
Harold Dremin,Harold Dremin,2024-06-04,2025-03-04,4,Chief of Investor Services
Harold Gallagher,Harold Gallagher,2020-11-19,2020-11-19,2,"Director, Financial Stability Retail Payments Oversight"
Harold Leadlay,Harold Leadlay,2013-04-23,2013-11-29,2,Environment Assessment Officer
Harold Wetston,Harold Wetston,2017-06-20,2017-06-20,1,Senator
Haroon Sritharan,Haroon Sritharan,2021-05-04,2023-04-20,3,Constituency Assistant
Harpeet Kochhar,Harpeet Kochhar,2016-10-17,2020-05-01,2,Associate Deputy Minister
Harper Stephen,Harper Stephen,2009-02-26,2009-02-26,1,Prime Minister of Canada
Harpreet Kachhar,Harpreet Kachhar,2017-02-16,2017-02-16,1,Vic
Harpreet Kocchar,Harpreet Kochar,2021-03-25,2024-10-01,5,Associate Deputy Minister
Harpreet Kochaar,Harpeet Kochhar,2021-01-07,2021-01-07,1,Associate Deputy Minister
Harpreet Kochar,Harpreet Kochar,2015-12-04,2024-10-31,14,Associate Deputy Minister
Harpreet Kochbar,Harpreet Kochbar,2021-01-20,2021-01-20,1,"Associate Deputy Minister, Health"
Harpreet Kochhar,Harpreet Kochhar,2011-07-14,2025-05-01,178,President
Harpreet Kochlar,Harpreet Kochhar,2017-10-10,2022-06-06,4,President
Harpreet S Kochhar,Harpreet Kochar,2020-06-12,2024-03-11,2,Associate Deputy Minister
Harpreet S. Kochhar,Harpreet Kochhar,2015-11-20,2024-01-15,2,President
Harri Viksstedt,Harri Viksstedt,2018-06-25,2018-06-25,1,Canadian Foreign Exchange Committee
Harri Vikstedt,Harri Vikstedt,2016-04-19,2017-08-24,4,Senior Director
Harriet Jackson,Harriet Jackson,2019-08-27,2024-05-28,4,Chief of Staff and Advisor to Senior Deputy Governor
Harriet Roos,Harriet Roos,2022-07-13,2025-01-20,2,Deputy Director
Harriet Roose,Harriet Roos,2025-03-26,2025-03-26,1,Deputy Director
Harris Berton,Harris Berton,2020-09-04,2020-09-04,1,Senior Advisor
Harris Qureshi,Harris Qureshi,2019-02-05,2019-02-05,1,Legislative Assistant
Harrison Andruschak,Harrison Andruschak,2022-07-07,2025-05-23,50,Special Advisor
Harrison Andrushchak,Harrison Andruschak,2022-08-15,2022-08-31,2,Special Advisor
Harrison Paul,Harrison Paul,2022-02-04,2024-03-19,9,Legislative Assistant
Harry Borlase,Harry Borlase,2013-10-01,2013-10-08,2,Policy and Stakeholder Relations
Harry Burton,Harry Burton,2018-05-29,2025-06-13,81,Director of Operations
